"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.078313583E0,-6.179504395E-1,1.249011040E1,-5.028759766E1,5.181917790E1
3.088358583E0,-5.876159668E-1,1.253713894E1,-5.039511108E1,5.193450073E1
3.098402583E0,-6.344909668E-1,1.242063427E1,-5.032341003E1,5.183744141E1
3.108446583E0,-5.677795410E-1,1.243132591E1,-5.028199768E1,5.179903019E1
3.118490583E0,-4.727783203E-1,1.238942719E1,-5.009016418E1,5.160180204E1
3.128534583E0,-4.935913086E-1,1.237605095E1,-5.028657532E1,5.178947699E1
3.138579583E0,-5.181884766E-1,1.240909672E1,-5.046517944E1,5.197103556E1
3.148623583E0,-4.750366211E-1,1.241797733E1,-5.038232422E1,5.189229629E1
3.158667583E0,-6.077575684E-1,1.245544720E1,-5.008598328E1,5.161504873E1
3.168711583E0,-5.575256348E-1,1.241238308E1,-5.037396240E1,5.188366002E1
